geo_name,geo_sumlevel,geo_id,pop_2013,pop_2014,pop_2015,pop_2016
"Burke County, NC","county",05000US37023,90591,90164,89548,89082
"Cabarrus County, NC","county",05000US37025,181415,184855,188375,192296
"Caldwell County, NC","county",05000US37027,82407,82140,81758,81623
"Camden County, NC","county",05000US37029,10037,10127,10161,10228
"Carteret County, NC","county",05000US37031,67198,67851,68228,68537
"Caswell County, NC","county",05000US37033,23462,23357,23174,23094
"Catawba County, NC","county",05000US37035,154432,154457,154610,155461
"Chatham County, NC","county",05000US37037,64886,66050,67431,68778
"Cherokee County, NC","county",05000US37039,27243,27156,27092,27226
"Chowan County, NC","county",05000US37041,14782,14703,14656,14556
"Clay County, NC","county",05000US37043,10599,10616,10656,10730
"Cleveland County, NC","county",05000US37045,97670,97464,97178,97113
"Columbus County, NC","county",05000US37047,57761,57512,57230,57015
"Craven County, NC","county",05000US37049,104041,104574,104450,104190
"Cumberland County, NC","county",05000US37051,322033,324002,324603,325841
"Currituck County, NC","county",05000US37053,23880,24212,24492,24864
"Dare County, NC","county",05000US37055,34289,34530,34863,35187
"Davidson County, NC","county",05000US37057,162975,163545,163867,164058
"Davie County, NC","county",05000US37059,41339,41411,41447,41568
"Duplin County, NC","county",05000US37061,59169,59455,59453,59121
"Durham County, NC","county",05000US37063,276494,282422,288817,294618
"Edgecombe County, NC","county",05000US37065,56049,55779,55280,54669
"Forsyth County, NC","county",05000US37067,354656,358130,361684,364691
"Franklin County, NC","county",05000US37069,61154,61723,62296,62989
"Gaston County, NC","county",05000US37071,207263,208379,209807,211753
"Gates County, NC","county",05000US37073,11982,11877,11724,11615
"Graham County, NC","county",05000US37075,8762,8743,8700,8651
"Granville County, NC","county",05000US37077,58188,57955,58109,58341
"Greene County, NC","county",05000US37079,21382,21353,21328,21241
"Guilford County, NC","county",05000US37081,495326,500899,506763,511815
"Halifax County, NC","county",05000US37083,54251,53803,53407,52849
"Harnett County, NC","county",05000US37085,118793,121789,124320,126620
